Mouse,Date,SVM Score,SVM std,Counts
CB279,121621,0.8583333333333334,0.05247295785490735,"{0: 30, 1: 30}"
CB279,121421,0.9375,0.0785351078046929,"{0: 23, 1: 29}"
CB279,122021,0.7888888888888889,0.08939912040420103,"{0: 30, 1: 29}"
CB278,121521,0.9066666666666666,0.09526816567885026,"{0: 29, 1: 20}"
CB278,121721,0.9388888888888888,0.05671308728156005,"{0: 29, 1: 30}"
CB278,121921,0.9722222222222221,0.03823595564509365,"{0: 28, 1: 30}"
CB295,040222,0.85,0.1227129965902705,"{0: 20, 1: 20}"
CB295,040622,0.6125,0.07777516704056077,"{0: 19, 1: 19}"
CB295,033022,0.7875,0.09158688713313082,"{0: 20, 1: 20}"
CB293,040222,0.7083333333333334,0.09168660070336347,"{0: 17, 1: 20}"
CB293,040422,0.5454545454545454,0.1103594506667062,"{0: 16, 1: 19}"
CB293,040622,0.8750000000000002,0.09933992677987828,"{0: 19, 1: 20}"
CB300,060922,0.7884615384615385,0.0784266017320264,"{0: 17, 1: 25}"
CB300,061722,0.6269230769230768,0.13270770901642703,"{0: 19, 1: 23}"
CB300,062022,0.7611111111111112,0.08473480397421361,"{0: 30, 1: 30}"
CB301,070322,0.69375,0.07560066485366243,"{0: 27, 1: 24}"
CB301,062422,0.746875,0.11732174328473141,"{0: 28, 1: 23}"
CB301,062722,0.5194444444444445,0.0770538574379562,"{0: 30, 1: 29}"
CB311,081022,0.8055555555555556,0.10432492850825303,"{0: 30, 1: 30}"
CB311,081222,0.7944444444444446,0.08848592873528283,"{0: 30, 1: 30}"
CB311,081522,0.8111111111111111,0.08338205203573133,"{0: 30, 1: 30}"
CB312,081022,0.9111111111111111,0.05526238435053778,"{0: 30, 1: 30}"
CB312,081522,0.8777777777777779,0.06887190886754284,"{0: 30, 1: 30}"
CB312,081222,0.9611111111111109,0.04451748384366844,"{0: 28, 1: 30}"
CB313,081222,0.661111111111111,0.07836039099693787,"{0: 30, 1: 30}"
CB313,081522,0.7555555555555554,0.08903496768733686,"{0: 30, 1: 30}"
CB313,081722,0.7111111111111111,0.09970717360268647,"{0: 30, 1: 30}"
CB280,121721,0.6727272727272726,0.08548406290575045,"{0: 17, 1: 19}"
CB280,121521,0.9805555555555555,0.02718669360719962,"{0: 29, 1: 30}"
CB316,100422,0.7416666666666666,0.07491602402871035,"{0: 30, 1: 30}"
CB321,113022,0.6333333333333333,0.12277916698957389,"{0: 30, 1: 30}"
CB289,040422,0.740909090909091,0.11527526297906865,"{0: 17, 1: 19}"
CB305,062422,0.861111111111111,0.07959448882348653,"{0: 30, 1: 29}"
CB303,061722,0.8472222222222223,0.0985189215721137,"{0: 29, 1: 30}"
CB303,062022,0.7805555555555556,0.0795434503515353,"{0: 30, 1: 30}"
CB303,061522,0.9138888888888888,0.05833681415401448,"{0: 29, 1: 29}"
CB317,110822,0.788888888888889,0.08756321396137913,"{0: 30, 1: 30}"
CB317,111022,0.7805555555555556,0.08352803764859021,"{0: 30, 1: 30}"
