,Mouse,Date
0,CB279,121621
1,CB279,121421
2,CB279,122021
3,CB278,121521
4,CB278,121721
5,CB278,121921
6,CB295,040222
7,CB295,040622
8,CB295,033022
9,CB293,040222
10,CB293,040422
11,CB293,040622
12,CB300,060922
13,CB300,061722
14,CB300,062022
15,CB301,070322
16,CB301,062422
17,CB301,062722
18,CB311,081022
19,CB311,081222
20,CB311,081522
21,CB312,081022
22,CB312,081522
23,CB312,081222
24,CB313,081222
25,CB313,081522
26,CB313,081722
27,CB280,121721
28,CB280,121521
29,CB316,100422
30,CB321,113022
31,CB289,040422
32,CB305,062422
33,CB303,061722
34,CB303,062022
35,CB303,061522
36,CB317,110822
37,CB317,111022
